name,sleeve,category,firm,s2_id,s2_h,s2_cites,s2_papers,needs_review,papers_harvested,papers_in_pool,pct_in_pool,downloadable,has_abstract,pool_cites_total,pool_cites_median,fwd_citers_total,pagerank_total,distinct_sleeves,top_sleeve,top_paper_title,top_paper_fwd_citers
Andrew Karolyi,fx,,,23729816,48,15847,139,0,92,85,92.4,50,27,11179,48,1877,0.00045187,9,other,Why Do Markets Move Together? An Investigation of U.S.‐Japan Stock Return Comovements,289
Torben Andersen,vol_options,volatility,,2315163,62,35029,169,0,63,54,85.7,32,28,5266,31,1836,0.00036802,7,other,An empirical investigation of continuous-time equity return models,356
Cliff Asness,macro_regime,practitioner_macro,aqr,102104637,27,5956,73,0,47,45,95.7,18,29,4293,15,1796,0.0003363,5,other,Value and Momentum Everywhere: Value and Momentum Everywhere,1017
Annette Vissing-Jorgensen,macro_regime,,,1403712997,33,10666,61,0,31,25,80.6,22,17,4980,88,1781,0.00031396,5,other,The Aggregate Demand for Treasury Debt,510
Andrew Patton,other,econometrics,,2334189,29,8472,67,0,36,33,91.7,22,18,4783,86,1695,0.00021821,5,other,"Good Volatility, Bad Volatility: Signed Jumps and The Persistence of Volatility",414
Terrance Odean,equity_xs,,,1869851,35,26776,72,0,18,12,66.7,9,5,5302,24,1693,0.00019958,2,other,All that Glitters: The Effect of Attention and News on the Buying Behavior of Individual and Institutional Investors,1462
Doron Avramov,equity_xs,factors,,93151567,26,5581,88,0,65,57,87.7,42,19,5076,26,1673,0.00022037,7,other,Stock return predictability and model uncertainty,268
Ravi Bansal,other,promoted,,2054868537,30,10027,64,0,42,36,85.7,26,21,4098,38,1649,0.00024638,6,other,A Long-Run Risks Explanation of Predictability Puzzles in Bond and Currency Markets,230
Nicholas Barberis,equity_xs,behavioural,,3095692,35,29163,74,0,28,17,60.7,11,9,6352,295,1647,0.00023774,2,other,Prospect Theory and Asset Prices,515
Monika Piazzesi,macro_regime,macro,,70106137,32,9295,90,0,25,19,76.0,17,12,4507,38,1604,0.00022861,4,other,Bond Risk Premia,702
Jonathan Berk,equity_xs,,,50203470,20,7044,53,0,26,26,100.0,15,14,5759,83,1587,0.00024719,2,other,Mutual Fund Flows and Performance in Rational Markets,670
Russ Wermers,equity_xs,,,3173841,33,13772,109,0,68,60,88.2,31,13,5199,20,1574,0.0002659,5,other,"Mutual Fund Performance: An Empirical Decomposition into Stock‐Picking Talent, Style, Transactions Costs, and Expenses",612
Terrence Hendershott,microstructure,microstructure,,2287993,33,8009,85,0,57,54,94.7,35,25,5527,31,1569,0.00028539,4,other,High-Frequency Trading and Price Discovery,453
Arvind Krishnamurthy,carry,convenience_yield,,2078984742,49,21649,259,0,59,45,76.3,29,29,5487,76,1535,0.00031398,6,other,Intermediary Asset Pricing,454
Dimitri Vayanos,rates_credit,,,2820319,37,12381,109,0,42,36,85.7,31,24,5373,76,1495,0.00024526,5,other,Limits of Arbitrage,200
Tobias Moskowitz,other,other,,102056949,14,8487,27,0,10,10,100.0,7,4,5875,38,1472,0.00024294,3,equity_xs,Do Industries Explain Momentum?,714
Harry Markowitz,cross_asset,,,50018942,35,18174,4,0,128,124,96.9,19,70,9079,18,1464,0.00127066,4,other,Mean-Variance Analysis in Portfolio Choice and Capital Markets,202
Robert Pindyck,commodities,,,3436008,64,35931,214,0,115,111,96.5,59,57,15621,51,1420,0.00106922,7,other,The Excess Co-Movement of Commodity Prices,273
Martin Lettau,equity_xs,,,2338153179,34,14696,64,0,14,8,57.1,6,5,2466,37,1368,0.00022572,5,other,Have Individual Stocks Become More Volatile? An Empirical Exploration of Idiosyncratic Risk,746
Mark Watson,macro_regime,,,32082672,64,49422,214,0,60,54,90.0,19,33,7497,82,1339,0.00095734,6,other,Univariate detrending methods with stochastic trends,156
